Gesture,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Point45,Point46,Point47,Point48,Point49,Point50,Point51,Point52,Point53,Point54,Point55,Point56,Point57,Point58,Point59,Point60,Point61,Point62,Point63,Point64
arrow,21.3967877128939,20.283428835563,18.9625432720947,17.4562252298553,16.1760479295391,14.8932297268122,14.0375048047274,13.1344078846491,12.4147152464378,11.6438948004713,11.1009080295283,10.6592814279169,10.3832488425213,10.6588889862221,10.9370120518234,11.8255919534433,12.359872059952,13.5871614054241,15.1185785955911,16.2071506000322,17.4880823121058,18.2686738184025,18.5625745660502,18.3131185309057,18.6510871332345,17.9118831538,16.9219468018025,15.8196504650576,14.9611426706631,14.2428034914253,14.0677096680121,15.5615237721905,19.0125860115114,20.4773729262089,20.8668643297819,21.0849666925506,20.3238667946132,19.5592426916248,17.9131571920987,15.9836807644503,13.1697997697194,10.5839287744682,10.082947241138,9.70363448820233,9.67545441145367,9.78531705077501,10.1065921585801,10.5015087525081,11.1856674885578,11.7431707897898,12.3051925065881,12.5142958587897,13.2328219369867,13.2914937638498,12.7578311429084,11.983458332275,11.7408949400251,11.7072835328268,12.0519287874898,12.7154427304901,13.9531228355084,16.0441038650435,17.6044654980413,19.3523980962859
caret,10.1082677727785,9.6622782703946,9.11372566042133,8.67822551161468,8.15708825908287,7.79182757146948,7.41558013402287,7.3291814750722,6.96195512310743,6.62393416375097,6.48822202655449,6.3330079234667,6.46346487862855,6.29793670821885,6.06122675496324,5.89795741091825,5.8563099944236,5.92554886981478,5.96570794752127,6.16695696906128,6.41748985382434,6.69890578626855,6.9015426259333,7.16236398257265,7.4398754201419,7.6404136198019,7.92236942049305,8.18440116834626,8.47246573387297,8.59745125255875,8.66905168166049,8.73096115091291,8.47852255828111,8.07861984560622,7.85387092514532,7.74309848990173,7.82974550996452,7.67050869990607,7.41422277946627,7.33546905212168,6.99258479434375,6.65231646582071,6.45032940499801,6.28629733505031,6.11640403832186,6.06469247253713,5.79455115510519,5.67648158172961,5.67528331300099,5.85270939049091,6.07846364851232,6.51507858470517,6.98641937619019,7.5735201352701,8.16545496845069,8.79622841078448,9.17073295869002,9.88153824033251,10.7817101743043,11.2796230397449,12.0350623729671,12.894143904138,13.5922877351657,14.0413047464389
check,16.8266483179318,16.0606730569764,15.4528991157291,15.089672369088,14.5524083748092,14.2411108636996,13.854248550553,13.680994558621,13.4762087540621,13.2640070664477,13.3050975280271,13.3819012971048,13.5824233724362,13.4990075637913,13.432945868643,13.2267828649578,12.8608887537873,12.3597990555778,11.9315340152523,11.7609274614724,11.8329036500213,11.881319224112,11.8281691612455,11.6590467902966,11.3658590180877,10.8682258289884,10.2579719335293,9.69607118333999,9.11274389076464,8.55544895152017,7.96251153291784,7.35196675987808,6.80831721321298,6.3910934881171,6.14301141598842,5.90404023290937,5.73227084865603,5.65606361891158,5.6340187324852,5.73329830326157,6.02133401143237,6.33707636841235,6.72991210132194,7.05094384652587,7.3275947662778,7.92862711308934,8.51794044686261,9.12493167734778,9.84976036449183,10.4754078675014,11.0165550967924,11.6694384434369,12.3026324339516,12.9715198645509,13.6892408734921,14.467124308771,15.175602128183,15.8507736481622,16.5964164197749,17.4959704990581,18.2197980988003,19.0663428358549,19.8533442826628,20.6909130676406
circle,16.0088781197338,15.7888104920209,15.3211006157741,15.0279733983398,14.5150784502482,14.3703248854924,14.2591723291224,14.4218386628634,14.5136762618655,14.6075081034892,14.6834496840764,14.6653799702993,14.7317981323068,14.7211686826772,14.6853968467987,14.715669664642,14.7856402848045,14.8483705786723,15.0787057983805,15.306377288769,15.5787821597687,15.8798036543203,15.697091080726,15.571171750694,15.4653620923331,15.3868684247026,15.2393309509227,15.238080576763,15.1721927361846,15.2324261715137,15.0717026168097,15.0604938220724,14.9624094150583,14.8927909042615,14.8492841970116,14.8836747885734,14.9106513985173,14.8797939332698,14.8767600374364,14.8221059619896,14.8060387516308,14.9308773650853,15.2135034709004,15.3351925678223,15.1397339768621,15.1523588939521,15.2055203433848,14.9214707833412,14.5830451593061,14.3437949411816,14.3020383629958,14.3738441583058,14.6109283976197,14.9804133307407,15.4049134966843,15.4410944157405,15.0523470284652,15.0880437673868,15.0808950229849,15.235766706358,15.4527700597248,15.7443131841235,15.6963061282711,15.7328469634373
delete,14.0985152375634,13.7883219414018,12.7210068004886,12.1784372152866,11.2364853364739,10.2570037388387,9.4532782087684,8.71071617108324,8.56678907990238,8.41480399727349,7.99005068434849,7.88601805082053,7.94473568323149,8.1239206478746,8.44011583979363,8.98111984999451,9.70244004406184,10.414345470721,10.984594564534,11.5042578940365,11.8253382806579,11.9471027086244,12.2817273981103,12.9588478112723,14.233052954564,13.9796902951732,13.972149804784,14.0057754549872,13.738573643393,13.5837679776538,13.5044597887256,13.4758894413675,13.660210932843,13.8782718816726,13.8561639280419,13.6162253467758,13.2653381196645,12.9663374129697,13.0238242566439,11.7003356191284,11.4712584536505,11.8861896692012,12.1405853623295,12.1272090897653,11.6011867717622,11.423244835757,11.0015577554568,10.7755581530844,10.6959550927936,10.8239200800434,10.6093903730291,10.6533499615953,10.6391038755422,10.6750775878068,10.9415642935637,11.2851007898206,11.9166152962349,12.2565023531848,13.1106945153454,13.9340544773522,14.5127745098009,14.7481878478959,15.6996430930579,17.1616370982261
left curly brace,17.3997619869957,16.4573935038432,15.6276309124606,14.9335612405096,14.2873139624678,13.5050206206559,13.1283413926131,12.5286042968587,12.066542072634,11.7640383842982,11.4579744838395,11.3067533515516,11.3901538102612,11.4826349006519,11.9884023644337,12.0946309269942,11.8501507814171,11.3432657704777,11.1648617179914,10.9520990264229,10.8395354869556,10.7167955961283,10.1822261388685,9.41988120478691,8.55242765711332,7.72169412589103,7.27971911167711,7.5519364484073,8.66898738053568,9.52195844423355,10.5916184101838,10.9595907363776,11.6022326671095,12.9869509568439,13.114957622575,12.2318127698483,11.6651272063563,10.5779128319293,9.81370109095207,9.27831822263974,9.68883788935109,8.80445075547775,8.53574781949978,8.47409747641609,8.49562959326853,8.44087811495846,8.68799197842718,9.08149393959923,9.5401043954446,9.9825679257365,10.2802596901987,10.510713581488,10.8053040204387,11.3362458538929,12.2143716777707,12.9554788603893,14.1323749827665,15.3827564785669,16.464183159209,16.863991890429,17.2680242052837,17.6714927550928,18.0954598389904,18.5072562585048
left square bracket,14.1318816227918,13.5210359902127,13.0025176117898,12.5748359171226,12.1695855841985,11.7396592476845,11.40051261029,11.0381768545683,10.7339897884204,10.4374061997124,10.1467278475443,9.95947410950373,9.71845104053026,9.70342161789598,9.8129638836049,10.2220968878961,10.2671596062375,9.81267997270254,9.12341630213449,8.70803242849385,8.51894519875108,8.34132528034333,8.28696890628562,7.93667801731466,7.53061073127449,7.06522973609821,6.69719564540319,6.32566989255963,5.99182904215857,5.74973372636453,5.63764901666373,5.64977998196778,5.74377165096265,6.04197703982147,6.31010444127576,6.420775483231,6.62295112739246,7.16769349414,7.51037599088906,7.8685622516601,8.61730183775189,8.92464688079421,9.48011207048289,9.4183621723847,9.19248373016087,8.91282508858509,8.78149185506764,9.0012453105289,9.56546419297079,9.68869328269043,9.77424614515628,9.6405487482061,9.77273901020203,9.70674290353899,9.90749024709521,10.265513145587,10.466626737293,10.7576943747559,11.4204444442365,12.133775064105,12.758213406561,13.3717099907201,13.767336908797,14.0175824062301
pigtail,17.3487304040356,16.9382846012336,16.4861783563174,16.1350246369251,15.5749003710751,15.0667521401724,14.3798451486559,14.031916625027,13.540952309602,12.930882867225,12.1972708835204,11.641279438968,11.0821953501921,10.8799986304932,10.4407644004782,10.0522042680244,9.9501920030103,9.97184640670149,10.366663340211,11.058514872033,11.652061668168,12.4720413695645,13.1051179149041,13.7600763232415,14.3006365509548,14.5745840703432,14.3382128513099,14.1797849212424,13.6633600310494,13.6345305454168,13.5526308109774,13.2817453299707,13.1618236817958,13.3083982635321,13.4704308838182,13.7750720157886,14.4377238389856,14.5245094377574,14.5602910710784,14.6565866370281,14.2248751995702,13.9233810352384,13.7312662769935,13.4792455173891,13.1929646056563,12.7511852904836,12.3848527623297,12.2170149378055,12.1421758478607,11.6524212913659,12.092342595013,12.0336777925547,12.4087860552308,13.1518444232254,13.8856497285915,14.6578069109435,15.4792085740543,16.2438975212624,16.8848140741404,17.8238509104515,18.9499676515159,19.8444372308885,21.18291406966,22.3278298594231
rectangle,14.7227554621575,14.4376943348421,14.2603475284733,14.2012685900884,14.1897284702425,14.4035402285713,14.6548655613442,15.0652474878314,15.5786301905737,16.1225517163102,16.6454045199388,16.5887753671111,17.1824778560193,16.7277392024933,15.8262594480611,14.9921159134478,14.2902053010449,13.761389463068,13.3391536869526,13.0131239548925,12.8010978783604,12.5280375075757,12.4059525160348,12.3290887618591,12.4236405143281,12.6749280498177,12.9958035950773,13.2734841542707,13.5925856699428,14.0652109783481,14.6225031543416,15.1891162007024,15.3452485957548,15.400619174757,15.6320979698892,15.9507264021821,16.0835230793281,16.3902490762605,16.6607424430239,16.9768063635195,17.261748364509,17.2769187785907,16.8505609651122,16.8764556196475,16.553012451025,15.6481494093138,15.4811620917384,14.9237931731297,14.3120113933876,13.9310704259102,13.5260479246899,13.3557522891581,13.0937328789248,12.8275168745307,12.7156363495034,12.8542190150225,13.1635179779167,13.5615891531926,14.1917760361459,14.8886346464404,15.3853886126139,15.6830178633754,16.0477744536116,16.3481728090514
right curly brace,17.6103657792502,17.2978609239331,16.8359943849987,16.328789888263,15.6967045693537,15.4080373426212,15.1781745373192,14.5265159962881,14.3008030844716,14.0170045427027,13.1089946767394,12.9309802537089,12.2524969553762,11.5726043787109,11.4714279758544,11.4603606435762,11.4157870958237,11.3000237073059,11.2353689957624,11.0364621104522,10.9335443201062,10.874531878968,10.8395850856121,10.605992253545,10.500863089576,10.3850749917653,10.3224343681738,10.5855715984133,10.9309538050921,11.3902484684753,11.9428146373336,11.777866933677,11.401626858086,10.6973109963643,10.2593586396882,9.60294631049083,9.14043549639256,8.90526334355923,9.3435708295599,9.95708222543095,10.7762087670508,11.425193612792,11.9986022979984,12.2328020168159,12.46318997588,12.4465437464522,12.3422434192417,12.210443268246,11.9461125306075,11.766657679303,11.6153766536913,11.841232437679,11.787579751121,11.9139055844143,12.4811475078151,13.2811932431507,14.527156111315,15.5049062344178,16.5498636439815,17.667083169783,18.4119456767968,18.891206550198,19.2778977867421,19.6957157793642
